,,,,,,,,,,Class
-0.57721085,-0.336795337,-0.381120347,0.062757677,-0.148918791,0.541028133,0.224812327,-0.405831268,0.476803335,-1.497826173,0
-0.51095546,-0.570011672,-0.648577735,0.820361833,1.471737306,0.516905603,0.260357342,-0.490080705,-0.815396725,0.153120566,0
2.568210046,6.205695216,2.61571429,-1.87583375,-1.773194444,2.044938324,-1.478497458,-2.182972475,1.889174465,0.842612978,0
-0.694749314,-0.687241226,-1.029450597,1.282035412,1.606565758,0.53275702,-0.333505989,-0.355349785,-0.658786266,-1.031435613,0
0.516608545,0.476371251,0.711138383,-0.347497281,-0.284652133,-0.020199871,0.353076736,1.036592838,-0.881015975,2.176369389,0
-0.038384504,-0.056184621,0.1766468,-0.756658225,-0.729857493,0.932469469,0.640060385,0.459239087,-0.920665647,0.592518597,0
-0.118101524,-0.262970207,0.440507055,-0.697034505,-0.571501928,0.217963241,0.540197871,0.496319978,-0.875499499,0.338128855,0
-0.624585024,-0.459034142,-0.577481467,0.236705779,0.024819886,0.573685262,0.194322201,-0.15263163,-1.02796877,0.579619133,0
1.014580273,1.326472207,2.81207541,-1.654296073,-1.589501988,1.937077747,1.460840839,2.061447601,-0.873124349,0.728043256,0
-0.153151803,-0.380554061,-0.521408518,-0.233172899,-0.211356128,0.49127647,0.653558393,-0.332778599,-0.757393277,-1.225275484,0
0.224866722,0.421313096,1.075083563,-0.726572862,-0.801343719,-0.499522411,0.922336203,1.129340679,-0.679266183,1.729865948,0
-0.811851096,-0.311836295,-0.817854563,0.808874694,0.711630593,0.4975613,-0.335011868,-0.824989861,-0.620017697,-0.414415709,0
-0.179820135,0.028836376,0.463571023,-0.869888593,-0.84296861,-0.237591462,-0.611532797,-0.69937192,-1.044433919,-0.208251764,0
-0.473702883,-0.529567012,-0.697244823,0.48832882,0.240183454,-0.214544836,-0.639640575,-0.404755764,0.547176715,-2.039780295,0
0.170137395,0.595503121,0.781599863,0.479029708,0.287237679,0.314693201,-0.871018471,1.372313423,-0.741418481,2.391886783,0
