,,,,,,,,Class
0.581785238,0.888182075,-0.34652829,-0.95688002,-0.097557121,-0.09909799,-0.344059156,-0.527741404,0
-0.510718508,1.372348427,-0.231148442,0.064290069,-0.097557121,-0.09909799,0.521043839,-0.527741404,0
1.018786737,0.968876467,-0.115768594,-0.810998579,-0.097557121,-0.09909799,0.521043839,-0.527741404,0
0.581785238,-0.483622589,0.807270189,-0.95688002,-0.097557121,-0.09909799,0.694064438,-0.527741404,0
-0.583552091,-0.483622589,-0.231148442,2.033689527,-0.097557121,-0.09909799,-0.344059156,-0.527741404,0
0.071950157,-0.806400158,0.691890341,-0.665117138,-0.097557121,6.507434677,-0.171038557,-0.527741404,1
-0.000883426,0.323321331,-0.231148442,2.836037455,-0.097557121,-0.09909799,0.521043839,-0.527741404,0
-0.146550592,-0.402928197,1.038029885,-0.446294976,-0.097557121,-0.09909799,1.386146834,0.599119378,0
0.363284489,0.000543763,1.845688821,0.720756555,-0.097557121,-0.09909799,-0.171038557,-0.527741404,0
-0.729219257,-0.88709455,1.153409733,-0.810998579,-0.097557121,-0.09909799,1.386146834,0.223499117,1
-0.510718508,-0.88709455,0.461130646,-0.373354255,-0.097557121,-0.09909799,0.521043839,-0.058216078,0
-0.583552091,-1.048483334,1.038029885,-0.446294976,-0.097557121,-0.09909799,0.34802324,0.129594052,0
-0.729219257,-0.645011373,0.807270189,0.647815835,-0.097557121,-0.09909799,0.521043839,-0.246026209,1
0.727452404,-0.806400158,0.23037095,1.450163762,-0.097557121,-0.09909799,0.521043839,-0.527741404,0
1.164453903,0.404015723,-0.577287986,-0.519235696,-0.097557121,-0.09909799,-0.690100354,-0.527741404,0
-0.292217758,-0.483622589,0.23037095,-1.102761462,-0.097557121,-0.09909799,0.001982042,-0.527741404,1
-0.219384175,-0.88709455,-0.000388746,-1.102761462,-0.097557121,-0.09909799,-0.171038557,1.162549769,1
0.581785238,-0.241539413,0.461130646,-1.102761462,-0.097557121,-0.09909799,0.175002641,-0.152121143,0
-0.000883426,-1.29056651,0.576510493,-0.373354255,-0.097557121,-0.09909799,-0.171038557,-0.527741404,0
0.800285988,0.807487683,0.576510493,-0.373354255,-0.097557121,-0.09909799,0.001982042,-0.246026209,0
-0.365051342,-0.806400158,-0.000388746,-0.738057858,-0.097557121,-0.09909799,0.001982042,-0.527741404,1
-0.510718508,-0.483622589,-0.231148442,-0.300413534,-0.097557121,-0.09909799,0.175002641,-0.527741404,1
1.674288984,1.049570859,-0.92342753,0.283112231,-0.097557121,-0.09909799,-0.171038557,-0.527741404,1
-0.510718508,0.242626939,0.23037095,-0.95688002,-0.097557121,-0.09909799,0.867085037,-0.527741404,1
-0.292217758,0.242626939,0.23037095,-0.810998579,-0.097557121,-0.09909799,1.386146834,-0.527741404,1
0.071950157,0.081238155,0.23037095,1.814867365,-0.097557121,-0.09909799,0.694064438,-0.527741404,0
0.654618821,-0.402928197,0.345750798,-0.519235696,-0.097557121,-0.09909799,1.559167433,-0.058216078,1
0.508951655,-0.241539413,1.153409733,-0.592176417,-0.097557121,-0.09909799,0.175002641,-0.527741404,1
0.945953154,1.372348427,0.807270189,-0.154532093,-0.097557121,-0.09909799,-0.171038557,-0.527741404,0
2.184124066,3.06693066,-1.615706617,0.939578717,-0.097557121,-0.09909799,1.040105636,0.505214313,1
0.217617323,0.323321331,-0.808047682,-1.175702182,-0.097557121,-0.09909799,1.213126235,0.411309248,0
0.071950157,0.081238155,-0.808047682,4.44073331,-0.097557121,-0.09909799,0.34802324,-0.527741404,0
-0.874886423,0.888182075,1.268789581,-1.029820741,-0.097557121,-0.09909799,0.521043839,1.819885226,1
-1.239054338,0.404015723,0.114991102,1.2313416,-0.097557121,-0.09909799,0.175002641,-0.527741404,0
2.0384569,1.937209171,-0.92342753,-0.008650652,-0.097557121,-0.09909799,-1.209162151,-0.527741404,1
1.747122567,1.372348427,-0.34652829,0.574875114,-0.097557121,-0.09909799,-1.38218275,-0.527741404,0
1.601455401,0.888182075,-0.577287986,0.283112231,-0.097557121,-0.09909799,0.694064438,-0.246026209,0
-0.729219257,-0.402928197,0.807270189,-0.592176417,-0.097557121,-0.09909799,1.040105636,-0.152121143,1
0.654618821,0.242626939,-0.808047682,1.304282321,-0.097557121,-0.09909799,0.001982042,-0.527741404,0
0.508951655,0.242626939,0.345750798,0.574875114,-0.097557121,-0.09909799,0.521043839,-0.527741404,0
2.621125564,1.453042819,-1.269567073,-0.154532093,-0.097557121,-0.09909799,0.694064438,-0.527741404,0
2.621125564,1.937209171,0.114991102,1.012519438,-0.097557121,-0.09909799,0.867085037,-0.527741404,0
2.111290483,0.565404507,-1.038807377,0.13723079,-0.097557121,-0.09909799,1.559167433,-0.527741404,0
-0.656385674,0.323321331,-1.269567073,-0.446294976,-0.097557121,-0.09909799,0.175002641,-0.527741404,0
-0.947720006,-1.129177726,0.691890341,-0.592176417,-0.097557121,-0.09909799,-0.344059156,-0.152121143,0
0.217617323,-1.532649686,0.922650037,0.939578717,-0.097557121,-0.09909799,-0.517079755,0.880834574,0
1.747122567,2.017903563,0.922650037,1.523104483,-0.097557121,-0.09909799,-1.728223949,0.693024443,0
-0.073717009,-0.88709455,0.23037095,0.210171511,-0.097557121,-0.09909799,-0.344059156,-0.527741404,0
1.747122567,0.565404507,0.114991102,0.13723079,-0.097557121,-0.09909799,1.386146834,-0.527741404,0
-0.583552091,-2.09751043,-1.846466313,-0.738057858,-0.097557121,-0.09909799,0.001982042,-0.527741404,0
-0.146550592,-0.88709455,0.114991102,-0.373354255,-0.097557121,-0.09909799,0.34802324,0.035688987,1
-0.656385674,0.242626939,-0.577287986,-0.8839393,-0.097557121,-0.09909799,0.34802324,3.604081465,0
-0.365051342,-0.322233805,0.576510493,1.2313416,-0.097557121,-0.09909799,0.867085037,0.974739639,0
0.436118072,-0.160845021,0.922650037,0.064290069,-0.097557121,-0.09909799,0.175002641,-0.527741404,1
1.018786737,0.726793291,0.691890341,-0.227472814,-0.097557121,-0.09909799,-0.690100354,-0.527741404,1
1.018786737,0.484710115,0.691890341,-0.300413534,-0.097557121,-0.09909799,-0.863120953,-0.527741404,1
1.164453903,0.968876467,-0.115768594,-1.175702182,-0.097557121,-0.09909799,-0.171038557,-0.527741404,1
0.217617323,-0.483622589,0.114991102,0.501934393,-0.097557121,-0.09909799,0.867085037,-0.527741404,1
-0.874886423,-0.080150629,0.345750798,-0.519235696,-0.097557121,-0.09909799,0.001982042,-0.527741404,1
-0.365051342,0.646098899,-0.231148442,2.981918896,-0.097557121,-0.09909799,0.34802324,-0.527741404,0
-0.510718508,-1.209872118,0.23037095,1.887808086,-0.097557121,-0.09909799,0.694064438,-0.527741404,0
-0.947720006,-1.451955294,-0.34652829,-0.592176417,-0.097557121,-0.09909799,-0.863120953,-0.246026209,0
-0.146550592,-0.564316981,0.114991102,0.428993673,-0.097557121,-0.09909799,0.34802324,1.444264965,0
-0.656385674,-0.322233805,1.038029885,-0.519235696,-0.097557121,-0.09909799,1.386146834,-0.058216078,0
0.290450906,-0.160845021,-0.692667834,-1.321583624,-0.097557121,-0.09909799,0.34802324,-0.058216078,1
0.727452404,-0.241539413,-0.577287986,-0.300413534,-0.097557121,-0.09909799,0.175002641,0.129594052,1
-1.166220755,-0.322233805,0.807270189,-1.248642903,-0.097557121,-0.09909799,0.867085037,-0.527741404,1
-0.146550592,0.323321331,0.576510493,-1.029820741,-0.097557121,-0.09909799,0.175002641,-0.527741404,1
-0.219384175,-0.88709455,1.038029885,-0.810998579,-0.097557121,-0.09909799,1.213126235,-0.527741404,1
2.256957649,2.824847484,-0.34652829,0.793697276,-0.097557121,-0.09909799,1.040105636,-0.527741404,0
-0.146550592,-0.645011373,0.23037095,-0.154532093,-0.097557121,-0.09909799,1.040105636,-0.527741404,1
0.581785238,0.081238155,-0.115768594,0.064290069,-0.097557121,-0.09909799,1.213126235,0.129594052,1
0.727452404,0.000543763,-0.692667834,2.544274572,-0.097557121,-0.09909799,-0.517079755,-0.527741404,0
-0.365051342,0.404015723,0.461130646,2.908978175,-0.097557121,-0.09909799,-0.517079755,-0.527741404,0
-0.292217758,-0.080150629,0.922650037,-0.227472814,-0.097557121,-0.09909799,-1.036141552,-0.527741404,0
-0.073717009,-0.645011373,0.691890341,2.106630248,-0.097557121,-0.09909799,-1.38218275,-0.246026209,0
0.945953154,0.242626939,0.461130646,1.012519438,-0.097557121,-0.09909799,0.001982042,-0.527741404,0
-0.000883426,0.323321331,0.345750798,2.033689527,-0.097557121,-0.09909799,0.175002641,-0.058216078,0
0.945953154,0.565404507,1.038029885,1.012519438,-0.097557121,-0.09909799,-2.074265147,-0.527741404,0
-0.510718508,0.565404507,0.114991102,1.668985924,-0.097557121,-0.09909799,-0.344059156,-0.527741404,0
-0.146550592,-0.402928197,0.576510493,1.741926645,-0.097557121,-0.09909799,0.521043839,-0.527741404,0
-0.000883426,0.646098899,-0.461908138,1.450163762,-0.097557121,-0.09909799,-0.690100354,-0.527741404,0
0.071950157,0.323321331,1.153409733,2.252511689,-0.097557121,-0.09909799,1.386146834,-0.527741404,0
0.290450906,0.161932547,1.499549277,0.793697276,-0.097557121,-0.09909799,-0.690100354,-0.527741404,0
1.237287486,0.968876467,-1.154187225,1.2313416,-0.097557121,10.86774624,0.001982042,-0.527741404,0
-1.603222254,0.646098899,-3.346404336,-0.95688002,-0.097557121,-0.09909799,0.175002641,-0.527741404,0
-0.80205284,-0.483622589,-1.731086465,-0.738057858,-0.097557121,-0.09909799,0.867085037,-0.527741404,0
2.184124066,1.049570859,-0.577287986,0.210171511,-0.097557121,-0.09909799,0.175002641,-0.527741404,0
-0.000883426,0.161932547,1.038029885,0.283112231,-0.097557121,-0.09909799,0.175002641,0.693024443,0
-0.583552091,-0.241539413,0.23037095,1.085460159,-0.097557121,-0.09909799,0.521043839,0.411309248,1
-1.020553589,-0.322233805,1.384169429,1.450163762,-0.097557121,-0.09909799,0.175002641,0.505214313,1
-0.292217758,-0.967788942,-0.34652829,-0.300413534,-0.097557121,-0.09909799,0.34802324,-0.058216078,0
-0.729219257,-0.402928197,0.691890341,-0.446294976,-0.097557121,-0.09909799,-0.863120953,-0.527741404,1
-1.239054338,-0.564316981,1.614929125,-0.738057858,-0.097557121,-0.09909799,0.34802324,2.289410552,0
-0.073717009,0.888182075,-0.115768594,-0.081591372,-0.097557121,-0.09909799,0.001982042,0.035688987,1
-0.874886423,0.000543763,-1.500326769,-0.008650652,-0.097557121,-0.09909799,-1.209162151,-0.527741404,0
1.382954652,1.614431603,0.23037095,0.720756555,-0.097557121,-0.09909799,-0.690100354,-0.527741404,0
0.800285988,1.775820387,-1.269567073,0.501934393,-0.097557121,-0.09909799,1.386146834,-0.527741404,0
2.0384569,2.017903563,-1.154187225,0.13723079,-0.097557121,-0.09909799,0.521043839,-0.527741404,0
1.018786737,0.565404507,0.807270189,0.064290069,-0.097557121,-0.09909799,-2.247285746,-0.527741404,1
-1.020553589,0.646098899,-1.731086465,-0.154532093,-0.097557121,-0.09909799,-1.036141552,-0.527741404,0
-1.020553589,-0.564316981,-1.269567073,-1.029820741,-0.097557121,-0.09909799,-0.171038557,-0.527741404,0
-0.219384175,0.161932547,-0.000388746,1.012519438,-0.097557121,-0.09909799,-1.55520335,-0.527741404,1
-0.146550592,-2.178204822,0.807270189,0.064290069,-0.097557121,-0.09909799,-0.344059156,1.819885226,0
-0.219384175,-0.88709455,0.576510493,-0.154532093,-0.097557121,-0.09909799,-0.517079755,-0.527741404,1
-0.437884925,0.726793291,-1.615706617,-0.738057858,-0.097557121,-0.09909799,0.34802324,-0.527741404,0
-0.583552091,-1.209872118,0.461130646,-0.592176417,-0.097557121,-0.09909799,1.040105636,-0.527741404,1
-1.457555088,0.484710115,0.576510493,-0.592176417,-0.097557121,-0.09909799,0.001982042,-0.527741404,1
1.09162032,1.210959643,0.23037095,-0.738057858,-0.097557121,-0.09909799,1.732188032,-0.527741404,1
