,,,,,,,,,,,,,,,,,,,,,Class
0.004912315,0.693190775,-0.203640486,0.59532212,0.353189609,-0.061400644,-0.278294946,-1.650444418,0.75907246,-0.420487348,0.372149156,1.485972919,-0.798376447,1.854727612,0.622631033,0.963082541,0.301464348,0.193113439,0.23149795,-0.289785745,-0.493293969,0
0.110729352,-0.079902591,-0.203640486,1.268942343,0.396245569,-0.061400644,-0.278294946,-1.710269883,0.75907246,-0.420487348,0.882794467,1.485972919,-0.798376447,1.854727612,0.278624569,0.963082541,0.301464348,0.129265352,0.093563441,-0.256385411,-0.493293969,0
0.216546389,-0.272444657,-0.203640486,1.050988365,0.148752525,-0.061400644,-0.278294946,-1.710269883,1.106508926,-0.420487348,2.516859464,1.14178027,-1.332930546,0.314688495,2.342663352,-0.488278885,0.061002043,0.065417265,0.024596186,-0.256385411,1.140017528,0
0.004912315,0.727346047,-0.203640486,1.212170766,-0.683598474,-0.061400644,-0.278294946,-1.710269883,1.106508926,-0.420487348,1.989192642,1.14178027,-1.332930546,0.314688495,1.654650424,-0.488278885,0.061002043,0.193113439,0.093563441,-0.323186078,1.140017528,0
-0.100904722,0.363594512,1.32136618,1.02712032,0.141358543,-0.061400644,-0.278294946,-0.9923643,-0.051612626,-0.420487348,0.797686915,-0.208513969,-0.085637649,-0.565333857,0.278624569,-0.488278885,-0.05922911,0.065417265,0.024596186,-0.456787413,1.140017528,0
-0.100904722,1.375314212,4.484914127,0.480555753,-0.191869186,-0.061400644,-0.278294946,-0.9923643,0.064199529,-0.420487348,-0.478926364,0.347489541,-0.691465627,-0.345328269,-0.753394823,-0.488278885,0.301464348,0.256961526,0.300465204,-0.356586412,1.140017528,0
-0.206721759,0.556292546,8.394663197,-0.177407645,0.942922248,-0.061400644,1.104415979,-1.411142557,0.99069677,-0.420487348,-0.053388604,0.877016694,-0.834013387,0.534694084,0.966637497,-0.488278885,0.421695501,-0.50921552,-0.113338323,1.847835603,-0.493293969,0
-0.206721759,0.488734909,7.812425925,-0.174563843,0.674478386,-0.061400644,2.0307167,-1.530793487,0.99069677,-0.420487348,0.082783479,0.877016694,-0.834013387,0.534694084,-0.409388359,-0.488278885,-0.119344686,-0.381519346,-0.251272832,0.745624595,-0.493293969,0
-0.206721759,0.61952964,9.102202747,-0.038886933,0.800570737,-0.061400644,-0.278294946,-1.231666161,0.75907246,-0.420487348,0.457256707,1.353591131,-1.332930546,0.754699672,0.278624569,-0.488278885,0.421695501,-0.317671259,0.093563441,1.647433601,1.140017528,0
-0.206721759,-0.200597708,9.302999355,0.354112037,0.703455831,-0.061400644,2.079984295,-1.291491626,0.52744815,-0.420487348,0.099804989,0.665205833,-1.119108906,-0.345328269,0.622631033,-0.488278885,-0.179460262,-0.573063607,-0.527141849,0.51182226,1.140017528,0
