value,Class
73,0
62,0
66,0
69,0
65,0
76,0
65,0
62,0
61,0
65,0
68,0
66,0
67,0
65,0
67,0
67,0
69,0
68,0
68,0
67,0
66,0
68,0
69,0
65,0
70,0
66,0
65,0
64,0
66,0
69,0
64,0
69,0
65,0
68,0
67,0
69,0
66,0
69,0
66,0
65,0
66,0
65,0
64,0
70,0
69,0
66,0
68,0
71,0
63,0
67,0
62,0
64,0
59,0
65,0
58,0
64,0
63,0
66,0
66,0
60,0
57,0
58,0
69,0
70,0
66,0
68,0
65,0
68,0
68,0
70,0
67,0
73,0
77,0
75,0
71,0
73,0
68,0
58,0
65,0
65,0
65,0
66,0
74,0
64,0
68,0
65,0
69,0
70,0
64,0
65,0
67,0
68,0
66,0
63,0
68,0
68,0
73,0
79,0
64,0
67,0
62,0
68,0
70,0
67,0
70,0
65,0
67,0
71,0
69,0
64,0
63,0
62,0
55,0
48,0
56,0
51,0
60,0
43,0
62,0
70,0
65,0
70,0
67,0
70,0
67,0
69,0
69,0
68,0
67,0
66,0
63,0
68,0
68,0
65,0
60,0
65,0
64,0
57,0
57,0
62,0
55,0
61,0
61,0
58,0
65,0
65,0
62,0
68,0
61,0
62,0
73,0
70,0
65,0
65,0
61,0
64,0
62,0
75,0
66,0
71,0
66,0
67,0
65,0
67,0
67,0
65,0
68,0
64,0
72,0
62,0
72,0
72,0
68,0
64,0
63,0
65,0
72,0
67,0
66,0
71,0
71,0
67,0
68,0
65,0
70,0
71,0
65,0
69,0
69,0
69,0
69,0
71,0
64,0
64,0
66,0
76,0
64,0
67,0
64,0
70,0
70,0
68,0
69,0
68,0
68,0
69,0
63,0
67,0
66,0
68,0
66,0
67,0
67,0
68,0
64,0
67,0
62,0
67,0
66,0
66,0
67,0
62,0
63,0
66,0
69,0
70,0
70,0
67,0
66,0
68,0
71,0
62,0
68,0
62,0
64,0
69,0
63,0
64,0
62,0
69,0
65,0
56,0
64,0
70,0
61,0
64,0
68,0
65,0
70,0
65,0
65,0
70,0
73,0
69,0
68,0
65,0
68,0
69,0
71,0
70,0
64,0
68,0
70,0
66,0
71,0
68,0
63,0
66,0
65,0
69,0
70,0
67,0
63,0
68,0
71,0
60,0
81,0
69,0
71,0
64,0
65,0
69,0
66,0
65,0
67,0
67,0
66,0
69,0
70,0
65,0
68,0
68,0
66,0
67,0
66,0
67,0
66,0
65,0
69,0
69,0
70,0
67,0
68,0
64,0
66,0
66,0
62,0
66,0
60,0
66,0
68,0
64,0
66,0
60,0
70,0
65,0
59,0
23,1
52,0
56,0
67,0
63,0
61,0
65,0
63,0
62,0
66,0
62,0
70,0
68,0
69,0
69,0
69,0
64,0
68,0
70,0
65,0
70,0
67,0
64,0
67,0
67,0
68,0
68,0
68,0
63,0
62,0
69,0
61,0
58,0
61,0
63,0
62,0
66,0
65,0
60,0
64,0
59,0
56,0
47,0
60,0
56,0
57,0
79,0
62,0
64,0
58,0
78,0
75,0
71,0
70,0
73,0
70,0
70,0
80,0
66,0
68,0
76,0
66,0
69,0
69,0
70,0
72,0
67,0
71,0
