value,Class
248,0
178,0
155,0
121,0
103,0
96,0
170,0
168,0
177,0
211,0
258,0
191,0
4416,0
200,0
210,0
197,0
238,0
264,0
263,0
237,0
218,0
218,0
286,0
287,0
312,0
296,0
213,0
189,0
174,0
210,0
229,0
226,0
348,0
58,0
118,0
121,0
530,0
185,0
189,0
221,0
392,0
418,0
603,0
705,0
798,0
729,0
863,0
916,0
652,0
881,0
383,0
393,0
29,0
69,0
99,0
73,0
106,0
159,0
110,0
96,0
611,0
1144,0
1321,0
1510,0
1623,0
1932,0
2051,0
1978,0
2942,0
3036,0
3182,0
2869,0
3058,0
4290,0
3922,0
4295,0
4757,0
5161,0
5241,0
5578,0
277,0
217,0
226,0
308,0
349,0
230,0
224,0
261,0
182,0
162,0
162,0
192,0
190,0
201,0
301,0
114,0
122,0
111,0
157,0
92,0
147,0
154,0
144,0
214,0
147,0
189,0
186,0
141,0
186,0
228,0
268,0
285,0
320,0
436,0
353,0
431,0
188,0
203,0
202,0
240,0
293,0
324,0
386,0
414,0
374,0
317,0
291,0
316,0
317,0
237,0
216,0
166,0
168,0
142,0
72,0
390,0
315,0
334,0
210,0
148,0
915,0
922,0
912,0
980,0
190,0
208,0
188,0
212,0
297,0
322,0
359,0
360,0
307,0
204,0
258,0
239,0
219,0
788,0
1147,0
1328,0
330,0
249,0
521,0
549,0
631,0
141,0
146,0
153,0
171,0
363,0
147,0
191,0
188,0
195,0
178,0
352,0
146,0
456,0
146,0
267,0
145,0
139,0
144,0
183,0
162,0
168,0
864,0
799,0
821,0
730,0
606,0
1012,0
760,0
987,0
719,0
2155,0
515,0
518,0
789,0
989,0
1072,0
1011,0
1070,0
2432,0
1587,0
1402,0
1208,0
1425,0
1288,0
1081,0
383,0
1022,0
2439,0
1908,0
749,0
183,0
155,0
161,0
171,0
203,0
291,0
381,0
410,0
273,0
266,0
207,0
301,0
405,0
154,0
164,0
139,0
153,0
154,0
164,0
152,0
181,0
149,0
138,0
135,0
150,0
107,0
117,0
111,0
104,0
146,0
130,0
134,0
136,0
201,0
246,0
240,0
301,0
356,0
308,0
347,0
488,0
466,0
378,0
323,0
218,0
205,0
208,0
277,0
318,0
207,0
99,0
100,0
110,0
120,0
125,0
139,0
180,0
163,0
167,0
199,0
193,0
181,0
180,0
179,0
175,0
156,0
123,0
50,0
126,0
142,0
247,0
200,0
5461,0
168,0
194,0
190,0
291,0
211,0
197,0
255,0
281,0
270,0
500,0
595,0
736,0
344,0
440,0
550,0
444,0
335,0
364,0
390,0
395,0
305,0
359,0
294,0
273,0
236,0
279,0
312,0
219,0
168,0
136,0
154,0
168,0
178,0
181,0
312,0
332,0
368,0
302,0
309,0
306,0
436,0
651,0
684,0
822,0
901,0
643,0
339,0
372,0
310,0
259,0
239,0
200,0
159,0
146,0
138,0
89,0
125,0
59,0
61,0
675,0
699,0
552,0
1170,0
1687,0
171,0
296,0
304,0
340,0
370,0
417,0
425,0
424,0
342,0
291,0
387,0
334,0
296,0
276,0
263,0
248,0
302,0
235,0
253,0
264,0
133,0
108,0
114,0
116,0
100,0
102,0
94,0
92,0
84,0
124,0
122,0
124,0
144,0
127,0
143,0
108,0
131,0
133,0
153,0
111,0
114,0
172,0
143,0
105,0
110,0
113,0
130,0
129,0
115,0
715,0
1351,0
1518,0
1606,0
1614,0
208,0
235,0
209,0
217,0
176,0
150,0
178,0
183,0
279,0
304,0
275,0
167,0
166,0
151,0
145,0
135,0
144,0
127,0
135,0
110,0
116,0
140,0
170,0
144,0
128,0
132,0
114,0
123,0
122,0
111,0
111,0
115,0
103,0
111,0
110,0
118,0
128,0
129,0
179,0
166,0
131,0
133,0
136,0
133,0
135,0
128,0
124,0
146,0
125,0
120,0
117,0
125,0
131,0
137,0
125,0
90,0
91,0
88,0
101,0
102,0
107,0
84,0
80,0
84,0
91,0
106,0
98,0
108,0
182,0
250,0
249,0
206,0
192,0
278,0
366,0
336,0
211,0
151,0
149,0
165,0
176,0
203,0
224,0
207,0
243,0
254,0
