Value,Class
0.132,0
0.132,0
0.066,0
0.202,0
0.134,0
0.132,0
0.132,0
0.134,0
0.134,0
0.134,0
0.134,0
0.066,0
0.134,0
0.134,0
0.134,0
0.134,0
0.132,0
0.134,0
0.134,0
0.066,0
0.134,0
0.134,0
0.134,0
0.066,0
0.134,0
0.132,0
0.134,0
0.134,0
0.134,0
0.066,0
0.202,0
0.134,0
0.066,0
0.134,0
0.134,0
0.136,0
0.066,0
0.134,0
0.132,0
0.134,0
0.128,0
0.068,0
0.134,0
0.136,0
0.134,0
0.198,0
0.134,0
0.134,0
0.068,0
0.134,0
0.134,0
0.134,0
0.134,0
0.202,0
0.066,0
0.134,0
0.132,0
0.134,0
0.134,0
0.068,0
0.136,0
0.132,0
0.134,0
0.066,0
0.198,0
0.066,0
0.134,0
0.134,0
0.132,0
0.134,0
0.066,0
0.198,0
0.066,0
0.134,0
0.134,0
0.132,0
0.134,0
0.134,0
0.066,0
0.132,0
0.134,0
0.132,0
0.066,0
0.136,0
1.598,0
0.066,0
0.132,0
0.134,0
0.134,0
0.134,0
0.066,0
0.2,0
0.134,0
0.068,0
0.134,0
0.134,0
0.066,0
0.132,0
0.134,0
0.134,0
0.132,0
0.134,0
0.132,0
0.066,0
0.132,0
0.134,0
0.066,0
0.134,0
0.134,0
0.066,0
0.132,0
0.134,0
0.202,0
0.132,0
0.134,0
0.068,0
0.132,0
0.132,0
0.066,0
0.134,0
0.134,0
0.132,0
0.134,0
0.066,0
0.132,0
0.132,0
0.132,0
0.134,0
0.066,0
0.136,0
0.068,0
0.134,0
0.132,0
0.134,0
0.132,0
0.134,0
0.134,0
0.132,0
0.132,0
0.066,0
0.134,0
0.068,0
0.134,0
0.134,0
0.132,0
0.068,0
0.134,0
0.134,0
0.132,0
0.134,0
0.066,0
0.134,0
0.134,0
0.066,0
0.132,0
0.132,0
0.134,0
0.066,0
0.134,0
0.134,0
0.132,0
0.134,0
0.068,0
0.132,0
0.134,0
0.066,0
0.132,0
0.134,0
0.066,0
0.202,0
0.132,0
0.132,0
0.134,0
0.132,0
0.136,0
0.132,0
0.066,0
0.132,0
0.132,0
0.134,0
0.134,0
0.066,0
0.134,0
0.134,0
0.132,0
0.134,0
0.068,0
0.134,0
0.134,0
0.134,0
0.066,0
0.134,0
0.132,0
0.134,0
0.066,0
0.134,0
0.134,0
0.134,0
0.132,0
0.132,0
0.134,0
0.132,0
0.134,0
0.134,0
0.066,0
0.132,0
0.134,0
0.068,0
0.132,0
0.136,0
0.134,0
0.134,0
0.066,0
0.136,0
0.134,0
0.134,0
0.132,0
0.134,0
0.134,0
0.132,0
0.134,0
0.132,0
0.132,0
0.134,0
0.132,0
0.066,0
0.136,0
0.134,0
0.134,0
0.134,0
0.066,0
0.202,0
0.134,0
0.066,0
0.132,0
0.066,0
0.134,0
0.132,0
0.068,0
0.132,0
0.132,0
0.134,0
0.134,0
0.132,0
0.134,0
0.134,0
0.066,0
0.134,0
0.134,0
0.136,0
0.132,0
0.134,0
0.134,0
0.066,0
0.132,0
0.134,0
0.132,0
0.134,0
0.134,0
0.2,0
0.134,0
0.134,0
0.134,0
0.066,0
0.134,0
0.134,0
0.134,0
0.066,0
0.2,0
0.066,0
0.134,0
0.134,0
0.134,0
0.134,0
0.134,0
0.134,0
0.132,0
0.132,0
0.134,0
0.134,0
0.136,0
0.134,0
0.134,0
0.134,0
0.134,0
0.132,0
0.134,0
0.132,0
0.134,0
0.066,0
0.134,0
0.134,0
0.134,0
0.132,0
0.132,0
0.066,0
0.132,0
0.132,0
0.134,0
0.134,0
0.134,0
0.2,0
0.066,0
0.132,0
0.132,0
0.132,0
0.132,0
0.132,0
0.068,0
0.134,0
0.134,0
0.132,0
0.066,0
0.134,0
0.134,0
0.132,0
0.134,0
0.132,0
0.066,0
0.134,0
0.132,0
0.068,0
0.132,0
0.066,0
0.132,0
0.136,0
0.134,0
0.134,0
0.13,0
0.066,0
0.134,0
0.136,0
0.066,0
0.134,0
0.132,0
0.132,0
0.134,0
0.068,0
0.198,0
0.132,0
0.134,0
0.2,0
0.134,0
0.066,0
0.132,0
0.132,0
0.068,0
0.134,0
0.134,0
0.068,0
0.134,0
0.134,0
0.132,0
0.134,0
0.134,0
0.066,0
0.132,0
0.134,0
0.066,0
0.134,0
0.134,0
0.134,0
0.136,0
0.066,0
0.134,0
0.134,0
0.134,0
0.066,0
0.132,0
0.068,0
1.6,0
0.134,0
0.066,0
0.132,0
0.132,0
0.134,0
0.134,0
0.134,0
0.066,0
0.202,0
0.066,0
0.134,0
0.066,0
0.136,0
0.132,0
0.134,0
0.066,0
0.132,0
0.134,0
0.132,0
0.068,0
0.134,0
0.134,0
0.132,0
