Value,Class
49.672,0
40.694,0
54.212,0
46.384,0
41.292,0
52.806,0
46.154,0
42.456,0
49.46,0
46.126,0
45.61,0
46.878,0
42.746,0
53.028,0
47.63,0
41.116,0
49.32,0
46.478,0
45.564,0
47.256,0
40.488,0
52.652,0
44.718,0
42.97,0
51.854,0
46.076,0
45.904,0
47.276,0
41.714,0
52.972,0
44.984,0
43.29,0
49.694,0
45.234,0
45.564,0
46.3,0
43.568,0
52.724,0
46.784,0
42.23,0
50.448,0
46.432,0
43.826,0
49.508,0
45.488,0
45.908,0
45.68,0
40.094,0
54.828,0
45.212,0
44.444,0
47.676,0
39.742,0
50.678,0
46.292,0
42.044,0
52.066,0
45.258,0
43.454,0
48.166,0
41.854,0
49.504,0
47.596,0
40.592,0
50.274,0
45.83,0
42.788,0
47.866,0
41.714,0
52.324,0
46.666,0
42.512,0
51.69,0
46.846,0
45.026,0
48.166,0
40.234,0
52.066,0
46.01,0
41.62,0
49.932,0
45.492,0
43.31,0
48.874,0
48.568,0
44.918,0
48.676,0
39.678,0
52.206,0
44.47,0
42.512,0
48.508,0
45.376,0
46.032,0
47.394,0
39.738,0
53.544,0
45.752,0
44.672,0
48.802,0
39.812,0
50.13,0
46.838,0
40.908,0
51.808,0
42.12,0
42.136,0
48.45,0
48.06,0
43.756,0
49.542,0
39.976,0
52.512,0
44.504,0
42.606,0
48.656,0
46.05,0
45.022,0
48.754,0
39.772,0
54.918,0
45.962,0
44.616,0
48.756,0
46.666,0
43.652,0
46.9,0
39.718,0
52.182,0
45.47,0
41.972,0
46.972,0
46.292,0
42.71,0
50.394,0
40.47,0
51.134,0
44.812,0
41.58,0
50.094,0
46.056,0
43.452,0
48.474,0
40.634,0
53.334,0
46.032,0
43.334,0
49.448,0
46.69,0
44.39,0
45.292,0
40.282,0
50.75,0
48.122,0
41.362,0
50.988,0
46.314,0
43.192,0
50.798,0
45.858,0
44.954,0
46.408,0
40.234,0
52.516,0
44.342,0
42.958,0
47.934,0
45.986,0
47.354,0
48.216,0
42.74,0
51.096,0
68,1
45.634,0
42.23,0
50.47,0
44.04,0
44.02,0
48.004,0
40.774,0
52,0
48.356,0
41.01,0
53.38,0
44.132,0
42.972,0
47.888,0
39.918,0
50.868,0
46.574,0
41.46,0
51.808,0
44.248,0
45.282,0
49.484,0
48.826,0
43.462,0
48.38,0
45.822,0
46.22,0
47.31,0
40.37,0
50.164,0
45.54,0
42.276,0
51.388,0
46.808,0
44.566,0
48.17,0
39.954,0
50.61,0
45.156,0
41.502,0
48.754,0
45.188,0
43.92,0
47.254,0
42.652,0
50.302,0
48.872,0
40.27,0
51.76,0
44.414,0
76,1
44.092,0
49.218,0
39.694,0
51.104,0
45.98,0
42.332,0
52.91,0
43.968,0
45.14,0
48.516,0
45.826,0
45.158,0
48.012,0
39.86,0
51.67,0
46.444,0
43.678,0
49.622,0
47.652,0
44.062,0
50.54,0
41.31,0
51.448,0
46.066,0
41.564,0
51.386,0
44.668,0
43.662,0
49.272,0
45.024,0
45.822,0
47.05,0
41.708,0
51.996,0
45.962,0
42.464,0
48.352,0
72,1
46.194,0
45.282,0
46.174,0
39.95,0
52.384,0
46.778,0
43.78,0
49.812,0
46.22,0
46.432,0
47.23,0
40.54,0
52.582,0
45.258,0
42.65,0
49.93,0
39.648,0
53.804,0
46.62,0
43.486,0
52.888,0
43.85,0
43.51,0
48.372,0
40.352,0
51.138,0
45.07,0
42.668,0
50.868,0
48.586,0
44.062,0
49.372,0
40.132,0
52.982,0
47.006,0
43.544,0
49.39,0
48.708,0
43.756,0
47.84,0
40.846,0
53.17,0
46.894,0
43.82,0
49.872,0
45.07,0
44.468,0
47.136,0
40.962,0
52.99,0
44.788,0
42.442,0
50.07,0
47.664,0
44.414,0
49.214,0
39.958,0
51.482,0
46.432,0
43.662,0
47.768,0
46.174,0
45.188,0
47.414,0
40.842,0
54,0
44.836,0
44.038,0
48.356,0
39.882,0
50.492,0
45.258,0
42.23,0
50.896,0
44.712,0
43.24,0
48.452,0
44.09,0
50.564,0
48.428,0
40.094,0
52.59,0
44.53,0
43.592,0
48.856,0
41.002,0
50.938,0
46.69,0
41.198,0
52.91,0
46.784,0
45.164,0
48.428,0
46.384,0
44.154,0
46.478,0
40.3,0
51.69,0
44.918,0
42.782,0
48.756,0
48.252,0
43.584,0
49.812,0
40.208,0
51.688,0
44.876,0
42.7,0
49.174,0
46.924,0
45.376,0
46.854,0
40.752,0
54.6,0
43.874,0
