Value,Class
0.045833333,0
0.042777778,0
0.038333333,0
0.044545455,0
0.050833333,0
0.056111111,0
0.048611111,0
0.041666667,0
0.04,0
0.035277778,0
0.030555556,0
0.023611111,0
0.015277778,0
0.010555556,0
0.006333333,0
0.007916667,0
0.008787879,0
0.009,0
0.014,0
0.025,0
0.041944444,0
0.039444444,0
0.047222222,0
0.034166667,0
0.035555556,0
0.037777778,0
0.038611111,0
0.036666667,0
0.038888889,0
0.038611111,0
0.036111111,0
0.0325,0
0.028055556,0
0.034166667,0
0.025,0
0.016111111,0
0.006296296,0
0.008095238,0
0.005555556,0
0.007777778,0
0.004666667,0
0.005185185,0
0.01,0
0.023888889,0
0.026388889,0
0.033333333,0
0.034444444,0
0.036111111,0
0.031944444,0
0.035277778,0
0.039444444,0
0.040555556,0
0.030555556,0
0.038611111,0
0.036666667,0
0.048611111,0
0.035277778,0
0.044444444,0
0.025555556,0
0.021944444,0
0.015,0
0.007777778,0
0.007619048,0
0.003333333,0
0.009166667,0
0.011333333,0
0.016969697,0
0.033055556,0
0.035277778,0
0.038333333,0
0.046388889,0
0.049090909,0
0.039444444,0
0.048055556,0
0.0525,0
0.05,0
0.0475,0
0.046944444,0
0.051111111,0
0.056666667,0
0.045555556,0
0.038055556,0
0.027777778,0
0.015833333,0
0.016388889,0
0.012666667,0
0.008666667,0
0.012592593,0
0.015151515,0
0.016111111,0
0.027777778,0
0.031666667,0
0.041388889,0
0.040277778,0
0.051388889,0
0.051515152,0
0.048611111,0
0.044444444,0
0.045277778,0
0.061111111,0
0.047777778,0
0.0525,0
0.051666667,0
0.057777778,0
0.0625,0
0.046111111,0
0.031111111,0
0.022777778,0
0.01030303,0
0.009393939,0
0.006363636,0
0.007,0
0.007878788,0
0.010909091,0
0.028888889,0
0.029166667,0
0.044722222,0
0.037222222,0
0.043333333,0
0.033055556,0
0.056944444,0
0.042777778,0
0.040833333,0
0.052777778,0
0.055,0
0.056111111,0
0.048611111,0
0.050277778,0
0.051111111,0
0.041388889,0
0.037222222,0
0.021944444,0
0.015555556,0
0.008484848,0
0.007333333,0
0.008,0
0.006969697,0
0.017222222,0
0.021111111,0
0.033611111,0
0.033055556,0
0.038888889,0
0.045833333,0
0.049444444,0
0.046111111,0
0.042777778,0
0.049166667,0
0.053333333,0
0.043055556,0
0.046388889,0
0.051666667,0
0.045555556,0
0.0475,0
0.039166667,0
0.0225,0
0.019722222,0
0.013333333,0
0.007666667,0
0.01,0
0.012222222,0
0.007878788,0
0.014166667,0
0.023611111,0
0.023611111,0
0.035277778,0
0.041944444,0
0.036111111,0
0.038333333,0
0.040277778,0
0.041111111,0
0.043333333,0
0.046111111,0
0.053055556,0
0.045277778,0
0.052777778,0
0.049722222,0
0.042222222,0
0.036944444,0
0.023888889,0
0.017575758,0
0.015277778,0
0.01030303,0
0.009666667,0
0.008333333,0
0.006190476,0
0.007407407,0
0.014333333,0
0.032777778,0
0.03,0
0.030833333,0
0.043611111,0
0.0325,0
0.039722222,0
0.034444444,0
