Value,Class
530.537582,0
-36.18210428,0
698.3803849,0
745.7661967,0
472.0311802,0
-241.7261227,0
73.2177051,0
396.8644818,0
581.8541189,0
1617.147634,0
1027.343832,0
468.4990941,0
395.8999266,0
806.647037,0
868.7019424,0
888.9466625,0
1219.643286,0
824.5998241,0
1419.903368,0
811.0085108,0
1278.488116,0
1579.963563,0
1541.314641,0
1868.517406,0
1580.262499,0
1861.131892,0
2149.464105,0
1490.712404,0
1305.171043,0
1890.307964,0
1827.062786,0
1752.599692,0
1843.936517,0
1803.30554,0
2399.849902,0
2613.625442,0
2591.436771,0
2061.783426,0
2769.56393,0
2198.503611,0
3051.474994,0
2605.953173,0
2232.558001,0
2111.987801,0
2007.829398,0
2076.777133,0
1903.920063,0
3020.145543,0
2913.861062,0
2511.346015,0
2729.981237,0
2491.422055,0
3639.156472,0
2357.404453,0
2668.981257,0
2804.441377,0
2963.705801,0
2656.745396,0
1842.897563,0
2235.240263,0
2891.64041,0
2747.793911,0
2378.070041,0
2710.508967,0
2430.499069,0
2853.483961,0
2182.62241,0
2897.324604,0
2845.466209,0
2766.110736,0
2740.529295,0
2827.831977,0
2455.087821,0
2657.202402,0
2959.940275,0
3122.766872,0
2725.65077,0
2606.604255,0
2273.056112,0
2046.485641,0
2286.72111,0
3091.916525,0
2880.657919,0
2464.373706,0
2362.839031,0
2345.431016,0
2893.001722,0
2361.953641,0
2955.146793,0
2689.403991,0
2929.427896,0
2036.303855,0
2367.729885,0
1988.898484,0
2558.897599,0
2345.440091,0
2161.934229,0
2836.658133,0
2322.483729,0
2608.271269,0
2500.413906,0
1853.903608,0
1897.203386,0
2142.08984,0
1649.743177,0
2314.378752,0
1550.139018,0
2696.69519,0
1825.896293,0
2682.11773,0
1826.850976,0
1586.286394,0
1971.049232,0
1957.424303,0
1259.070576,0
2342.71775,0
1459.507343,0
2032.354552,0
2086.531464,0
1934.901814,0
1824.445372,0
1945.039389,0
1432.091458,0
1534.632364,0
1407.429909,0
2486.270066,0
2453.184975,0
1959.116243,0
1361.992377,0
1858.861225,0
2471.903974,0
1681.758442,0
2200.708106,0
1499.856309,0
2178.030935,0
1530.949815,0
1434.475846,0
1560.33703,0
1612.448543,0
1614.757439,0
2297.435153,0
2049.437724,0
1915.462622,0
1634.462705,0
1689.167502,0
1816.614012,0
1704.967042,0
2005.261943,0
2406.671628,0
1778.165325,0
