,,,,,,,,,,,,,,,,,,,,,,,,,,,Class
-1.016219497,-1.141344788,-0.777528261,-0.777528689,-0.314770464,-0.314914795,-0.091365911,-0.355444909,-0.266030152,-1.18740165,1.575897106,1.223641163,-1.223641163,0.022913903,-0.940621112,-1.258206874,-1.434993905,-0.486101325,-0.575182576,0.796196203,0.87957726,-0.083516115,-0.898205385,0.528736117,1.467277399,-1.075474552,-0.009487218,0
0.141857713,0.066386111,0.500059126,0.500041841,-0.345533982,-0.338154458,-0.124192551,-0.380475478,-0.017074797,-0.384876021,1.575897106,1.223641163,-1.223641163,0.022913903,1.444670766,-0.254283624,-1.342393928,-0.504757671,-0.043278438,0.654054721,0.87957726,-0.581786017,-1.157542987,0.130140478,1.4171644,-0.297747475,-0.845541101,0
0.495234506,0.436140663,-0.054532314,-0.05455215,-0.352692788,-0.344794361,-0.149984912,-0.387161098,0.449716492,-0.277872604,1.133228939,1.223641163,-1.223641163,0.38598235,2.132998804,-0.521656507,-0.87607373,-0.50306164,0.573302866,0.571672421,0.87957726,-0.812605017,-1.157542987,-0.325680377,1.164802524,0.057170327,-1.091231354,0
0.541327132,0.486379053,-0.722039025,-0.722039255,-0.332377257,-0.328194602,-0.089021151,-0.365642187,0.449716492,-0.224370895,-0.73427739,-0.816812013,0.816812013,3.8351326,1.324555355,0.197408985,-1.531652047,-0.477621167,-0.296076772,0.796196203,0.87957726,-0.312940822,-1.018634376,0.550085524,1.519586586,-0.171375227,-0.189188722,0
1.378676491,1.382631934,-0.649510249,-0.649391492,0.099666367,-0.172156865,0.415102251,0.079286279,-1.479687505,-0.224370895,-0.73427739,-0.816812013,0.816812013,1.929023251,-0.87489129,0.250592147,-1.861470289,-0.352114837,-1.345087097,0.747108304,0.87957726,1.127364671,-0.218404497,2.215559405,1.69807671,-0.456384977,1.221320789,0
-0.271055389,-0.355616366,-0.873691946,-0.873667511,-0.244536771,-0.304954939,0.009458769,-0.281001268,-0.639463184,-0.170869187,-0.499109926,-0.816812013,0.816812013,-0.703222992,0.961873543,-0.528213335,-1.639377916,-0.431828317,-0.248805539,0.796196203,0.87957726,0.389022728,-0.611044533,1.180223191,1.577885374,-0.641237999,1.184202117,0
-0.303704332,-0.345568688,-0.852155563,-0.851946438,1.38496229,0.392234951,0.818400972,2.490132383,-1.915359376,3.681253831,1.575897106,-0.816812013,0.816812013,1.293653468,0.526788831,-0.54788382,-1.812403369,-0.233392632,-1.919740873,0.628443643,0.87957726,1.856073311,0.379587733,2.673801327,1.67152281,2.758713218,1.221320789,0
-0.731981641,-0.839914447,-0.811318822,-0.811332552,-0.340890432,-0.334834506,-0.147640152,-0.363668709,1.227701975,2.236707699,1.575897106,-0.816812013,0.816812013,1.293653468,-0.355058481,-0.540598455,-0.261077075,-0.465748947,1.227290102,0.796196203,0.87957726,-0.471256545,-0.697005916,-0.225096055,0.831980334,2.120130052,-0.735068865,0
-0.463107994,-0.552550856,-0.68830876,-0.688319918,-0.315350908,-0.321554698,-0.133571591,-0.344654222,-0.981776796,0.952666693,1.575897106,-0.816812013,0.816812013,1.293653468,0.198473373,-1.422856116,-0.261077075,-0.43522038,1.05300312,0.796196203,0.87957726,-0.08972706,-0.460508295,0.025814507,0.831980334,0.078008304,-0.07694893,0
-0.954762664,-1.060963364,-0.491125588,-0.49106028,-0.075047199,-0.218636191,0.19703957,-0.050941781,-0.981776796,0.685158151,1.575897106,-0.816812013,0.816812013,1.293653468,-0.814166276,0.086671442,-1.745628088,-0.404691813,-1.079957137,0.719362969,0.87957726,0.868786548,-0.273220451,1.786150189,1.635385548,0.445025577,1.221320789,0
-0.89330583,-1.004696367,-0.471792546,-0.471792731,-0.280911246,-0.328194602,-0.081986871,-0.304355064,-0.266030152,0.685158151,1.575897106,-0.816812013,0.816812013,1.293653468,-0.687377786,-1.32304662,-1.183387595,-0.445396569,1.284837691,0.796196203,0.87957726,0.19394835,-0.532558053,0.61171268,1.331113792,0.147916356,0.812426219,0
-0.127015935,-0.206910731,-0.870111377,-0.870099926,-0.311481283,-0.231915998,-0.032746911,-0.342089286,0.387477654,-0.598882855,1.575897106,-0.816812013,0.816812013,1.293653468,0.890805258,1.034497385,-1.529069578,-0.465748947,-1.530883597,0.486729012,0.87957726,-0.049546048,-0.697005916,0.88683391,1.518388665,-0.09541744,0.940868605,0
-1.008537393,-1.125268504,-0.829169822,-0.829164275,-0.273558958,-0.321554698,-0.067918311,-0.281764503,0.54307475,1.487683779,1.575897106,-0.816812013,0.816812013,1.293653468,-0.924939378,-1.128527383,-1.285948525,-0.445396569,0.778829967,0.796196203,0.87957726,0.239326276,-0.532558053,0.724402336,1.386617433,0.940431676,0.954125273,0
0.018944045,-0.056195561,-0.800213085,-0.800204348,-0.282652577,-0.298315035,-0.053849751,-0.326756282,-0.701702022,-1.026896524,1.575897106,-0.816812013,0.816812013,1.293653468,1.19142744,-1.574391701,-1.552311803,-0.475925136,-0.827980911,0.796196203,0.87957726,0.182667246,-0.792103292,0.824986658,1.530767175,-1.119167085,0.720218725,0
-0.230724342,-0.305377976,-0.722730457,-0.722719412,-0.225575609,-0.27175542,-0.035091671,-0.267530477,-1.510806925,0.150141065,1.575897106,-0.816812013,0.816812013,1.293653468,0.677266749,-1.172239571,-1.254221043,-0.414868002,-0.45433264,0.607954781,0.87957726,0.468624229,-0.331358584,0.901580408,1.369447242,-0.843568034,1.188326414,0
0.187950338,0.132700786,-0.653187742,-0.6531394,-0.154181029,-0.175476817,0.11731773,-0.169379727,-1.075135054,0.203642773,1.575897106,-0.816812013,0.816812013,1.293653468,1.53942848,0.231650199,-1.686600214,-0.414868002,-1.46470387,0.764182356,0.87957726,0.69437307,-0.331358584,1.578818829,1.603441007,-0.11692761,1.221320789,0
-0.797279527,-0.855990732,-0.527954617,-0.527830461,0.609489452,0.183077984,0.466686971,0.711699035,-2.288792407,0.685158151,1.575897106,-0.816812013,0.816812013,1.293653468,-0.489854665,0.458953577,-1.610232903,-0.204560097,-1.623370793,0.584051108,0.87957726,1.534244952,0.458074213,2.255617056,1.562112756,0.104896017,1.221320789,0
-0.924034247,-1.032829866,-0.506951883,-0.506937749,-0.259628309,-0.245195806,-0.016333591,-0.286090147,-0.172671894,0.203642773,1.575897106,-0.816812013,0.816812013,1.293653468,-0.750772031,0.332916768,-1.398101484,-0.425044191,-0.995279971,0.62758994,0.87957726,0.316265943,-0.393649442,1.012509288,1.447312061,-0.154570407,1.197164193,0
-0.939398455,-1.0629729,-0.454181602,-0.454194865,-0.339923026,-0.344794361,-0.135916351,-0.373623938,0.231880557,-0.224370895,1.575897106,-0.816812013,0.816812013,1.293653468,-0.782469154,-1.435969772,-1.072710332,-0.496277514,1.087120619,0.796196203,0.87957726,-0.450849154,-1.018634376,-0.011822077,1.271217777,-0.124993923,-0.841416804,0
1.977880619,1.999559365,-0.918153774,-0.918162857,-0.325992376,-0.321554698,-0.131226831,-0.354299082,0.356358235,0.578154733,1.575897106,-0.816812013,0.816812013,2.201324587,-0.814166276,-0.432046522,-0.466198935,-0.445396569,0.778829967,0.796196203,0.87957726,-0.218382352,-0.532558053,0.061910413,0.942987615,0.393938924,-0.144999828,0
-1.064232649,-1.185554572,-0.906131763,-0.906136981,-0.311481283,-0.311594843,-0.114813511,-0.339079294,0.076283461,0.578154733,1.575897106,-0.816812013,0.816812013,2.201324587,-1.039382672,-1.264763703,-0.912228302,-0.455572758,0.002348579,0.796196203,0.87957726,-0.049546048,-0.611044533,0.282227494,1.184368555,0.18959231,0.093914795,0
-1.014298971,-1.137325717,-0.881561984,-0.881570181,-0.336827326,-0.328194602,-0.126537311,-0.36806853,0.511955331,0.203642773,1.575897106,-0.816812013,0.816812013,2.201324587,-0.936617265,-0.002938543,-0.960926297,-0.475925136,0.336124591,0.796196203,0.87957726,-0.390007243,-0.792103292,0.130140478,1.210722802,0.25412282,-0.452849126,0
-0.97588845,-1.097135005,-0.865106808,-0.865120748,-0.345920945,-0.338154458,-0.149984912,-0.375728201,0.698671847,1.059670111,1.575897106,-0.816812013,0.816812013,2.201324587,-0.857541286,-0.248455332,-0.358104142,-0.475925136,1.18988417,0.796196203,0.87957726,-0.592053089,-0.792103292,-0.274177682,0.884489174,1.011684113,-0.857913992,0
-0.939398455,-1.056944293,-0.846195838,-0.846198632,-0.315350908,-0.321554698,-0.103089711,-0.339916704,0.231880557,0.578154733,1.575897106,-0.816812013,0.816812013,2.201324587,-0.782469154,-0.663721118,-1.159776446,-0.465748947,0.230894715,0.796196203,0.87957726,-0.08972706,-0.697005916,0.413405297,1.318335976,0.56064274,0.16726836,0
-0.952842138,-1.073020578,-0.826300408,-0.826306714,-0.327540226,-0.314914795,-0.112468751,-0.349337084,1.196582556,0.952666693,1.575897106,-0.816812013,0.816812013,2.201324587,-0.810162429,-0.662992581,-1.0996418,-0.475925136,-0.333482705,0.552464112,0.87957726,-0.239803775,-0.792103292,0.253614886,1.285792474,1.306104563,-0.277271919,0
1.520795419,1.515261284,0.269471965,0.269452815,-0.333344664,-0.341474409,-0.140605871,-0.370231353,-0.234910733,-1.026896524,-0.595943587,-0.816812013,0.816812013,-0.703222992,-1.101775956,-1.750697526,-0.662097689,-0.453876726,1.600938372,0.796196203,0.87957726,-0.32878507,-0.792103292,-0.091497185,1.049003562,-0.727278678,-0.704136639,0
1.511192788,1.515261284,0.39767819,0.397667213,-0.290004864,-0.308274891,-0.103089711,-0.327136923,-0.297149571,-0.652384564,-0.595943587,-0.816812013,0.816812013,-0.703222992,-1.101775956,-1.002490575,-0.781260208,-0.392819593,0.519043711,0.796196203,0.87957726,0.132092407,-0.393649442,0.413405297,1.113491604,-0.690980267,0.736715913,0
1.599536987,1.591623637,2.001388669,2.001355308,-0.349984051,-0.341474409,-0.152329672,-0.38525594,0.387477654,-0.598882855,1.160895699,-0.816812013,0.816812013,-0.703222992,-0.216592104,-1.465839767,-0.87607373,-0.50306164,0.230894715,0.796196203,0.87957726,-0.713610158,-1.157542987,-0.325680377,1.164802524,-0.311191331,-1.091231354,0
1.363312282,1.374593792,1.511276768,1.51137793,0.255418771,-0.065918405,0.398688931,0.316359322,-1.604165183,0.524653025,-0.595943587,-0.816812013,0.816812013,-0.703222992,-0.761782611,-0.174873149,-1.796908553,-0.306321987,-1.571166909,0.76247495,0.87957726,1.28618741,-0.02800211,2.193109513,1.663137368,0.180181611,1.221320789,0
-1.002775815,-1.117230361,1.787280351,1.787259669,-0.291746196,-0.321554698,-0.105434471,-0.330742277,-1.044015635,-0.331374313,-0.595943587,-0.816812013,0.816812013,-0.703222992,-0.868551865,-1.425041725,-0.843608399,-0.404691813,1.05300312,0.796196203,0.87957726,0.119417009,-0.460508295,0.388534338,1.147233026,-0.822730057,0.579698041,0
0.497155032,0.440159734,0.126056493,0.126043922,-0.33121637,-0.341474409,-0.117158271,-0.362216417,0.449716492,0.096639356,-0.595943587,-0.816812013,0.816812013,-0.703222992,1.498389047,-1.472396596,-1.32320987,-0.479317199,0.687575934,0.796196203,0.87957726,-0.294434741,-1.018634376,0.253614886,1.406782424,0.147916356,-0.595137366,0
