value,Class
3.06,0
6.44,0
5.17,0
3.83,0
4.5,0
2.94,0
2.28,0
1.67,0
18.83,0
12,0
13.11,0
12.72,0
1.67,0
12.78,0
7.5,0
1.94,0
3.72,0
2.72,0
3.83,0
3.83,0
1.83,0
2.56,0
2.28,0
2.28,0
7.89,0
2.28,0
2.06,0
1.17,0
1.17,0
1.56,0
3.61,0
2.72,0
1.17,0
3.44,0
3.5,0
4.5,0
1.44,0
5.44,0
1.67,0
5.17,0
2.06,0
2.56,0
2.94,0
1.44,0
2.94,0
1.83,0
1.94,0
2.17,0
1,0
0.89,0
1.39,0
0.28,0
0.39,0
1,0
1,0
0.5,0
0.22,0
5,0
0.5,0
0,0
0.5,0
0,0
1.67,0
2.17,0
0.5,0
1.44,0
1.39,0
3.5,0
2.56,0
2.56,0
6.06,0
2.06,0
4.39,0
5.44,0
12.39,0
5.83,0
4.5,0
9.28,0
5.39,0
9.17,0
7.5,0
10.33,0
10.44,0
10.94,0
8.89,0
15.61,0
11.89,0
17,0
7.83,0
11.11,0
14.33,0
10.83,0
8.11,0
14.83,0
13.67,0
16.5,0
12.28,0
11.06,0
7.61,0
11.44,0
6.33,0
13.89,0
9.44,0
2.72,0
6.17,0
11.83,0
8.5,0
6.06,0
7.5,0
9.78,0
11.89,0
9.28,0
6.44,0
4.28,0
6.83,0
8,0
9,0
1.06,0
4.11,0
8.11,0
5.06,0
4.61,0
1,0
1.39,0
4.22,0
3.33,0
4.67,0
3.33,0
2.94,0
3.83,0
1.78,0
3.89,0
3.5,0
6.67,0
2.28,0
5.39,0
4.11,0
2.17,0
3.33,0
1.28,0
2.28,0
4.28,0
7.06,0
4.67,0
4.5,0
4.89,0
7.11,0
2.33,0
3.06,0
1.56,0
3.33,0
4.22,0
7.89,0
4.28,0
3.22,0
5.06,0
1,0
4.89,0
2.17,0
6.28,0
1,0
6.28,0
6.72,0
5.94,0
4.39,0
5.06,0
5.83,0
3.72,0
3.33,0
4.67,0
4.61,0
4.28,0
2.44,0
3.11,0
3.11,0
2.83,0
6.17,0
5,0
1.44,0
2.17,0
3.44,0
6.83,0
7.89,0
9.39,0
7.33,0
5.44,0
8.5,0
7.83,0
4,0
4.78,0
2.72,0
5.39,0
2.56,0
3.83,0
