value,Class
58,0
63,0
63,0
64,0
58,0
63,0
60,0
60,0
62,0
62,0
59,0
65,0
60,0
63,0
53,0
62,0
60,0
60,0
61,0
61,0
59,0
63,0
65,0
59,0
62,0
58,0
57,0
64,0
58,0
62,0
63,0
62,0
63,0
66,0
55,0
59,0
59,0
59,0
63,0
60,0
63,0
58,0
68,0
63,0
60,0
62,0
59,0
65,0
63,0
65,0
60,0
63,0
62,0
63,0
38,0
38,0
33,0
59,0
63,0
68,0
64,0
65,0
65,0
61,0
63,0
66,0
66,0
60,0
68,0
63,0
63,0
66,0
63,0
59,0
61,0
67,0
59,0
62,0
59,0
60,0
65,0
60,0
62,0
65,0
56,0
66,0
66,0
60,0
70,0
63,0
64,0
58,0
60,0
60,0
59,0
60,0
56,0
58,0
62,0
56,0
75,0
57,0
59,0
62,0
66,0
59,0
58,0
61,0
53,0
53,0
56,0
57,0
56,0
56,0
64,0
55,0
67,0
65,0
68,0
61,0
63,0
66,0
60,0
62,0
69,0
64,0
62,0
63,0
62,0
60,0
61,0
60,0
55,0
56,0
58,0
54,0
35,0
60,0
58,0
59,0
34,0
31,0
52,0
57,0
55,0
52,0
54,0
56,0
54,0
56,0
53,0
47,0
52,0
52,0
58,0
52,0
55,0
47,0
53,0
49,0
49,0
55,0
51,0
53,0
53,0
46,0
52,0
61,0
63,0
62,0
62,0
67,0
61,0
63,0
59,0
61,0
61,0
61,0
61,0
63,0
63,0
61,0
63,0
67,0
59,0
62,0
63,0
65,0
58,0
64,0
62,0
62,0
57,0
62,0
61,0
56,0
62,0
60,0
64,0
61,0
64,0
62,0
65,0
62,0
52,0
60,0
61,0
60,0
62,0
62,0
62,0
65,0
57,0
64,0
63,0
63,0
61,0
61,0
64,0
57,0
62,0
60,0
61,0
60,0
65,0
61,0
62,0
59,0
57,0
60,0
61,0
61,0
63,0
61,0
67,0
60,0
65,0
64,0
63,0
65,0
62,0
64,0
60,0
65,0
59,0
60,0
57,0
57,0
64,0
60,0
61,0
64,0
59,0
64,0
63,0
64,0
64,0
63,0
66,0
61,0
62,0
64,0
64,0
64,0
66,0
67,0
65,0
64,0
65,0
65,0
60,0
65,0
58,0
59,0
61,0
62,0
54,0
64,0
61,0
60,0
65,0
66,0
63,0
65,0
55,0
66,0
61,0
64,0
62,0
63,0
57,0
61,0
60,0
67,0
64,0
58,0
64,0
60,0
58,0
57,0
67,0
56,0
55,0
62,0
45,0
60,0
61,0
63,0
63,0
60,0
58,0
66,0
58,0
61,0
67,0
62,0
61,0
64,0
69,0
61,0
64,0
65,0
66,0
67,0
65,0
68,0
67,0
64,0
66,0
72,0
58,0
64,0
62,0
74,0
65,0
68,0
61,0
64,0
59,0
67,0
63,0
63,0
66,0
59,0
63,0
66,0
61,0
61,0
63,0
56,0
63,0
61,0
65,0
62,0
65,0
64,0
65,0
62,0
66,0
66,0
63,0
60,0
65,0
66,0
60,0
61,0
66,0
67,0
63,0
61,0
59,0
60,0
60,0
63,0
63,0
61,0
61,0
61,0
62,0
61,0
63,0
63,0
64,0
63,0
65,0
65,0
66,0
62,0
63,0
63,0
63,0
61,0
62,0
67,0
68,0
64,0
62,0
63,0
66,0
61,0
62,0
61,0
63,0
61,0
65,0
52,0
67,0
69,0
65,0
63,0
65,0
66,0
57,0
61,0
63,0
62,0
61,0
62,0
64,0
62,0
